date,avg_delay,median_delay,num_flights,num_delayed,num_cancelled,delay_weather,delay_carrier,delay_nas,delay_late_aircraft,delay_security,delay_rate,cancel_rate,date_parsed,year,month,day,day_of_week,day_name
2019-02-23,5.154379332073094,-5.0,1587,382,54,1485.0,7619.0,4563.0,6306.0,15.0,24.07,3.4,2019-02-23,2019,2,23,5,Sat
2019-02-24,8.825133689839571,-4.0,1870,460,77,1738.0,10294.0,6650.0,10426.0,0.0,24.6,4.12,2019-02-24,2019,2,24,6,Sun
2019-02-25,12.278260869565218,-4.0,1955,566,84,1506.0,8716.0,10952.0,14938.0,40.0,28.95,4.3,2019-02-25,2019,2,25,0,Mon
2019-02-26,7.0745,-6.0,2000,466,58,1532.0,10015.0,5390.0,12118.0,0.0,23.3,2.9,2019-02-26,2019,2,26,1,Tue
2019-02-27,5.367378048780488,-5.0,1968,435,48,1096.0,9941.0,6050.0,7693.0,0.0,22.1,2.44,2019-02-27,2019,2,27,2,Wed
2019-02-28,10.93048128342246,-3.0,2057,549,36,3073.0,9519.0,6698.0,15223.0,0.0,26.69,1.75,2019-02-28,2019,2,28,3,Thu
2019-03-01,12.494644595910419,-1.0,2054,624,41,1849.0,10693.0,9388.0,15392.0,49.0,30.38,2.0,2019-03-01,2019,3,1,4,Fri
2019-03-02,11.233219567690558,-2.0,1758,507,38,1846.0,11282.0,6727.0,10267.0,111.0,28.84,2.16,2019-03-02,2019,3,2,5,Sat
2019-03-03,15.542264752791068,1.0,1881,668,93,3106.0,13668.0,8800.0,12690.0,17.0,35.51,4.94,2019-03-03,2019,3,3,6,Sun
2019-03-04,11.41370928536704,-3.0,2057,550,96,2099.0,10613.0,8489.0,14185.0,66.0,26.74,4.67,2019-03-04,2019,3,4,0,Mon
2019-03-05,5.3168415792103945,-5.0,2001,400,22,262.0,10844.0,4719.0,8719.0,0.0,19.99,1.1,2019-03-05,2019,3,5,1,Tue
2019-03-06,2.9327354260089686,-5.0,2007,383,21,210.0,5508.0,5885.0,7944.0,12.0,19.08,1.05,2019-03-06,2019,3,6,2,Wed
2019-03-07,2.7663640707118966,-6.0,2093,381,25,758.0,5617.0,5169.0,8924.0,57.0,18.2,1.19,2019-03-07,2019,3,7,3,Thu
2019-03-08,5.78620063549705,-4.0,2203,457,34,1710.0,8631.0,4072.0,12380.0,0.0,20.74,1.54,2019-03-08,2019,3,8,4,Fri
2019-03-09,21.784555120313374,1.0,1787,603,47,2955.0,13686.0,12215.0,18511.0,45.0,33.74,2.63,2019-03-09,2019,3,9,5,Sat
2019-03-10,12.540854224698236,-1.0,2154,599,29,395.0,12488.0,8957.0,16687.0,179.0,27.81,1.35,2019-03-10,2019,3,10,6,Sun
2019-03-11,0.28577981651376144,-7.0,2180,313,29,1859.0,6478.0,3552.0,6649.0,7.0,14.36,1.33,2019-03-11,2019,3,11,0,Mon
2019-03-12,1.414423076923077,-5.0,2080,345,31,960.0,5839.0,3692.0,7330.0,108.0,16.59,1.49,2019-03-12,2019,3,12,1,Tue
2019-03-13,4.677040816326531,-6.0,1960,524,173,4402.0,4825.0,5019.0,10599.0,64.0,26.73,8.83,2019-03-13,2019,3,13,2,Wed
2019-03-14,11.610952380952382,-5.0,2100,606,137,3826.0,10950.0,6471.0,17838.0,0.0,28.86,6.52,2019-03-14,2019,3,14,3,Thu
2019-03-15,11.146520146520146,-4.0,2184,508,43,1303.0,13062.0,9388.0,13815.0,0.0,23.26,1.97,2019-03-15,2019,3,15,4,Fri
